Mode,Lambda,Norm,IoU (%),MAPE (%),Samples
log,1e-08,z-score,86.48775137272362,8.094546674019007,677308
log,1e-08,none,86.48774980867607,8.094547453312124,677308
log,1e-08,image-norm,86.48774970295841,8.094547522965579,677308
log,1e-07,z-score,86.48774563317349,8.094549157923295,677308
log,1e-07,image-norm,86.48772900857769,8.094557879311393,677308
log,1e-07,none,86.48772195214974,8.094561429515092,677308
log,1e-06,z-score,86.48767398810313,8.094581575710638,677308
log,1e-06,image-norm,86.48748400104138,8.094683674458082,677308
log,1e-06,none,86.48735924845067,8.094748393610448,677308
log,0.0001,z-score,86.48096277047885,8.097658296122793,677308
log,0.0001,image-norm,86.46646788244212,8.105787082676267,677308
log,0.0001,none,86.45921526856584,8.109794417372838,677308
log,0.001,z-score,86.42712503088384,8.122016747293111,677308
log,0.001,image-norm,86.34747835765546,8.167776862589895,677308
sqrt,1e-08,z-score,86.27194344078349,8.3352723165092,677308
sqrt,1e-08,none,86.2719419620081,8.335273100099075,677308
sqrt,1e-08,image-norm,86.27194176742115,8.33527321137785,677308
sqrt,1e-07,z-score,86.2719395999053,8.335273953378808,677308
sqrt,1e-07,image-norm,86.27192398938809,8.33528257387292,677308
sqrt,1e-07,none,86.27191722790333,8.335286046599112,677308
sqrt,1e-06,z-score,86.27188557608414,8.335298649830747,677308
sqrt,1e-06,image-norm,86.27171005428643,8.335397391084376,677308
sqrt,1e-06,none,86.27160197584686,8.3354542802936,677308
sqrt,0.0001,z-score,86.26760769230233,8.337335441263585,677308
log,0.001,none,86.26536670698947,8.21426618089283,677308
sqrt,0.0001,image-norm,86.25563267277539,8.34427384074686,677308
sqrt,0.0001,none,86.2527648113954,8.345954108687842,677308
sqrt,0.001,z-score,86.23800180631808,8.35087121152507,677308
sqrt,0.001,image-norm,86.18531376022898,8.382176741915535,677308
sqrt,0.001,none,86.16053616585441,8.396348093058151,677308
sqrt,0.01,z-score,85.96269019106309,8.476695355098032,677308
log,0.01,z-score,85.86313446854899,8.38807915831881,677308
sqrt,0.01,image-norm,85.72471324122006,8.622866067132385,677308
linear,1e-08,z-score,85.50008170411277,9.011140171000624,677308
linear,1e-08,image-norm,85.50008042502226,9.011140881245153,677308
linear,1e-08,none,85.50008041973727,9.011140857248005,677308
linear,1e-07,z-score,85.50007837871074,9.011141390477391,677308
linear,1e-07,image-norm,85.50006562485783,9.01114868748488,677308
linear,1e-07,none,85.5000578790766,9.011152578058637,677308
linear,1e-06,z-score,85.50003658244991,9.011158616321334,677308
linear,1e-06,image-norm,85.49987618069788,9.011250991906595,677308
linear,1e-06,none,85.49975877250743,9.011312172079743,677308
linear,0.0001,z-score,85.49675258737976,9.012808041504899,677308
linear,0.0001,image-norm,85.48600361374709,9.019146561154352,677308
linear,0.0001,none,85.48425389376818,9.020238076548448,677308
linear,0.001,z-score,85.47707267254142,9.022213997907604,677308
sqrt,0.01,none,85.4668557983562,8.782756235198901,677308
linear,0.001,image-norm,85.43566901781952,9.04736437944539,677308
linear,0.001,none,85.42493996133186,9.053956586002604,677308
log,0.01,image-norm,85.36494381198625,8.692024399240205,677308
linear,0.01,z-score,85.31450648602267,9.098456520979399,677308
linear,0.01,image-norm,85.1800117727301,9.182661162428982,677308
linear,0.01,none,85.08767640227927,9.24535799583269,677308
log,0.01,none,84.51110337742524,9.237886995442206,677308
linear,0.1,z-score,83.79834804347122,9.859848077374265,677308
linear,0.1,image-norm,83.39318758933722,10.148008069044012,677308
sqrt,0.1,z-score,83.03435278050976,9.97504187045538,677308
linear,0.1,none,82.94809874364466,10.558078588735963,677308
sqrt,0.1,image-norm,82.08998500447933,10.646197157366428,677308
square,1e-08,z-score,81.91480792491969,12.677606650331844,677308
square,1e-08,image-norm,81.91480717411433,12.677606895271468,677308
square,1e-08,none,81.9148071469717,12.677606778493491,677308
square,1e-07,z-score,81.91480469551671,12.677606251219675,677308
square,1e-07,image-norm,81.91479765944393,12.677608702563539,677308
square,1e-07,none,81.91478758786131,12.6776128956985,677308
square,1e-06,z-score,81.91476721877223,12.677608194747542,677308
square,1e-06,image-norm,81.9146465687114,12.677664231713722,677308
square,1e-06,none,81.91451370497555,12.677729139760496,677308
square,0.0001,z-score,81.91037820117316,12.680070800622033,677308
square,0.0001,image-norm,81.90141757237708,12.684804848936645,677308
square,0.0001,none,81.89814884306311,12.6867886948483,677308
square,0.001,z-score,81.88372046284069,12.695355863523108,677308
square,0.001,image-norm,81.85451253816537,12.71026135487234,677308
square,0.001,none,81.8358705634124,12.72277376950571,677308
square,0.01,z-score,81.68515905452668,12.815078927864523,677308
square,0.01,image-norm,81.62589655248634,12.837329808373287,677308
square,0.01,none,81.50058114464342,12.944230648089347,677308
sqrt,0.1,none,80.70045163858796,11.752613359842341,677308
square,0.1,z-score,80.30668801863943,13.743021928083413,677308
square,0.1,image-norm,80.29877600476895,13.683186380325903,677308
square,0.1,none,79.79495992479954,14.278607779391555,677308
log,0.1,z-score,79.75070416779151,11.771239743599603,677308
log,0.1,image-norm,77.88896112807305,13.213761678253233,677308
linear,1.0,none,75.66099824518248,15.86042539537138,677308
square,1.0,none,75.06235829875135,18.79951088489047,677308
square,1.0,image-norm,74.76944371263752,17.412533477032483,677308
log,0.1,none,73.96835667805477,16.838339481422985,677308
square,2.0,none,73.19082573907203,20.899524865171227,677308
linear,1.0,image-norm,73.06332814775267,16.45622230430522,677308
square,1.0,z-score,73.01387076749765,19.004810882800978,677308
linear,2.0,none,72.65716238440379,18.436951070376807,677308
square,3.0,none,72.06168130157077,22.228394847397418,677308
linear,1.0,z-score,71.55491348830044,17.303956643518685,677308
