Mode,Lambda,Norm,IoU (%),MAPE (%),Samples
log,1e-08,none,83.07263043750324,10.677479983766604,235933
log,1e-08,image-norm,83.07262902842251,10.677480625769912,235933
log,1e-07,z-score,83.07262788670828,10.677481107914952,235933
log,1e-08,z-score,83.0726278404272,10.677481238394162,235933
log,1e-07,image-norm,83.07261533607188,10.677487498647439,235933
log,1e-06,z-score,83.07260023021911,10.677493992096242,235933
log,1e-07,none,83.07259768051138,10.677497249504592,235933
log,1e-06,image-norm,83.07220464061237,10.677706778710796,235933
log,1e-06,none,83.07203130142445,10.677803813306044,235933
log,0.0001,z-score,83.06986053062973,10.678832357923945,235933
log,0.0001,image-norm,83.06347325927494,10.68261708013829,235933
log,0.0001,none,83.06119179663213,10.683842725223155,235933
log,0.001,z-score,83.05663290797828,10.684487576491255,235933
log,0.001,image-norm,83.03616748889272,10.696963452669321,235933
log,0.001,none,83.00679071887552,10.713662383130409,235933
log,0.01,z-score,82.92414727868945,10.741308541720464,235933
sqrt,1e-08,none,82.84101506884171,11.051828738843463,235933
sqrt,1e-08,image-norm,82.84101362416173,11.051829460107157,235933
sqrt,1e-07,z-score,82.84101256761532,11.051829995248303,235933
sqrt,1e-08,z-score,82.84101221731935,11.051830187380821,235933
sqrt,1e-07,image-norm,82.84100268713368,11.051835030650226,235933
sqrt,1e-06,z-score,82.8409902273155,11.051841107090166,235933
sqrt,1e-07,none,82.84097872514023,11.051847401583089,235933
sqrt,1e-06,image-norm,82.84057768442531,11.052063937552543,235933
sqrt,1e-06,none,82.84041512474035,11.052154215306905,235933
sqrt,0.0001,z-score,82.83868276532179,11.053051563763736,235933
sqrt,0.0001,image-norm,82.83262355887412,11.056736647592869,235933
sqrt,0.0001,none,82.83180523148303,11.057185370554345,235933
sqrt,0.001,z-score,82.82975780298501,11.057232115338358,235933
log,0.01,image-norm,82.82008482458777,10.808980201281468,235933
sqrt,0.001,image-norm,82.81341762416133,11.067715173579872,235933
sqrt,0.001,none,82.80022917714611,11.075082976695773,235933
sqrt,0.01,z-score,82.75267724500763,11.091067765261602,235933
sqrt,0.01,image-norm,82.69291675435234,11.133220156923427,235933
sqrt,0.01,none,82.57441447689357,11.206833837850079,235933
log,0.01,none,82.55258293312511,10.980802273248063,235933
linear,1e-08,none,82.19645405726222,11.842773308199389,235933
linear,1e-08,image-norm,82.19645264086225,11.842774116982527,235933
linear,1e-07,z-score,82.19645117478687,11.842774899262215,235933
linear,1e-08,z-score,82.19645110846982,11.84277497751945,235933
linear,1e-07,image-norm,82.19643974950516,11.842780067320975,235933
linear,1e-06,z-score,82.19642685920876,11.842786738520173,235933
linear,1e-07,none,82.1964085228612,11.842795188319588,235933
linear,1e-06,image-norm,82.1960198592541,11.843004338838709,235933
linear,1e-06,none,82.19587677983996,11.843081780257824,235933
linear,0.0001,z-score,82.19417567208171,11.844009203678066,235933
linear,0.0001,image-norm,82.18871563066166,11.847368599370409,235933
linear,0.0001,none,82.1881276646167,11.847655891389193,235933
linear,0.001,z-score,82.18503171284067,11.848820885648966,235933
linear,0.001,image-norm,82.17215233905941,11.857078873359532,235933
linear,0.001,none,82.16195697740031,11.86254023711738,235933
linear,0.01,z-score,82.11111323101402,11.888225259179741,235933
linear,0.01,image-norm,82.08333574920738,11.908094162675841,235933
linear,0.01,none,82.00286619207094,11.958859623733726,235933
sqrt,0.1,z-score,81.98000233712601,11.465755384168803,235933
sqrt,0.1,image-norm,81.82174623654312,11.595903378188195,235933
linear,0.1,z-score,81.55135281878252,12.226022513234716,235933
linear,0.1,image-norm,81.54226346628474,12.218373739948813,235933
log,0.1,z-score,81.47813296687305,11.476449333256985,235933
log,0.1,image-norm,81.11891181247131,11.75510870447528,235933
linear,0.1,none,80.90093519561624,12.738387334350762,235933
sqrt,0.1,none,80.87629736455085,12.296262100179105,235933
log,0.1,none,79.36129518779235,13.185196654604441,235933
linear,1.0,image-norm,78.16894426635675,14.182175238569938,235933
linear,1.0,z-score,77.83155169428478,14.575889013302637,235933
square,1e-07,image-norm,77.23064488269983,17.6256324360041,235933
square,1e-08,none,77.23064358998212,17.625637918451282,235933
square,1e-08,image-norm,77.23063924541923,17.625640858406484,235933
square,1e-08,z-score,77.23063479577085,17.625643781275976,235933
square,1e-07,none,77.23063415487839,17.625631611356717,235933
square,1e-07,z-score,77.2306273741157,17.625647246881144,235933
square,1e-06,z-score,77.23052348303283,17.625700343061386,235933
square,1e-06,image-norm,77.2302893361959,17.625800877778055,235933
square,1e-06,none,77.23016030063022,17.625850561438703,235933
square,0.0001,z-score,77.22294197139851,17.631543730113883,235933
square,0.0001,image-norm,77.22259654595182,17.630154412297188,235933
square,0.0001,none,77.21734851968392,17.634243387463048,235933
square,0.001,image-norm,77.19131317429255,17.649173185353,235933
square,0.001,z-score,77.182599134691,17.66413989853837,235933
square,0.001,none,77.15106536442025,17.682733179620826,235933
square,0.01,image-norm,76.96741237729118,17.82357440411607,235933
square,0.01,z-score,76.92155731160605,17.890053268499745,235933
square,0.01,none,76.70548176765047,18.090756734021586,235933
square,0.1,image-norm,76.04005823482113,18.692396757777942,235933
square,0.1,z-score,75.92133475691215,18.969068327894824,235933
linear,1.0,none,75.57331964787785,17.11875989938315,235933
sqrt,1.0,image-norm,75.51704320392881,15.358007787359252,235933
linear,2.0,image-norm,75.33040414028035,15.882165329326353,235933
sqrt,1.0,z-score,75.16620058185703,15.496239195412473,235933
square,0.1,none,75.11650344102759,19.910339808444714,235933
linear,2.0,z-score,74.63335365989317,16.662914084298087,235933
square,1.0,z-score,73.06482724557887,21.778341448223856,235933
linear,3.0,image-norm,72.89542593012025,17.397668257183355,235933
square,1.0,image-norm,72.8075884752375,21.67027642821331,235933
linear,2.0,none,72.45240645104997,19.81140381995054,235933
sqrt,1.0,none,72.34550003283064,18.763387506129575,235933
linear,3.0,z-score,71.9183652649307,18.504193434944526,235933
square,2.0,z-score,71.33716368155117,23.037172215323594,235933
square,2.0,image-norm,71.04949017896764,23.0358470387706,235933
log,1.0,image-norm,70.81415831072897,18.540864253070083,235933
linear,4.0,image-norm,70.74046421276499,18.786896942758293,235933
linear,3.0,none,70.41880501610235,21.61708574317955,235933
log,1.0,z-score,70.39420733184184,18.674367722193683,235933
sqrt,2.0,image-norm,70.24915364197474,18.88911418293456,235933
square,3.0,z-score,69.92398050054703,23.943662449794644,235933
square,3.0,image-norm,69.77285070216939,23.870809741936963,235933
linear,4.0,z-score,69.53072386682916,20.172316857149692,235933
sqrt,2.0,z-score,69.34700495862307,19.46839795161179,235933
square,1.0,none,69.0689132911883,27.713023104686023,235933
linear,4.0,none,68.94851591827998,22.951320088572043,235933
linear,5.0,image-norm,68.80126667290297,20.075406224372006,235933
square,4.0,image-norm,68.72173011852075,24.485986755850274,235933
square,4.0,z-score,68.68057074361023,24.70725470038492,235933
linear,5.0,none,67.82291154600087,23.991941277264303,235933
square,5.0,image-norm,67.7999135724587,24.99048301396423,235933
sqrt,2.0,none,67.67456057352996,22.739551057244164,235933
square,5.0,z-score,67.55199008209793,25.389773490579426,235933
linear,5.0,z-score,67.39447349591839,21.699604098658764,235933
square,2.0,none,66.44830710112886,31.43285353068729,235933
log,1.0,none,66.24966125452603,24.94981048412331,235933
sqrt,3.0,image-norm,65.99846448234898,21.94402336769382,235933
square,3.0,none,64.94597773391939,33.62632186912842,235933
sqrt,3.0,z-score,64.72950198615402,22.875183993072,235933
sqrt,3.0,none,64.72210081578373,25.419817760087337,235933
square,4.0,none,63.9279581414343,35.133337819230604,235933
log,2.0,image-norm,63.69160107932845,23.834440581751824,235933
square,5.0,none,63.18921799641289,36.22777327983161,235933
log,2.0,z-score,62.67153233021276,24.49477358785638,235933
sqrt,4.0,none,62.6221919929292,27.415292733399987,235933
sqrt,4.0,image-norm,62.438305198126024,24.632143069723785,235933
sqrt,5.0,none,61.025157763170824,28.98724869113542,235933
sqrt,4.0,z-score,60.89652026742735,25.845689961074058,235933
log,2.0,none,60.20714951327155,31.659019081113822,235933
sqrt,5.0,image-norm,59.3832091843013,27.02834271574489,235933
log,3.0,image-norm,58.52027744404753,27.923132043400155,235933
sqrt,5.0,z-score,57.62856764555126,28.472183304427645,235933
log,3.0,z-score,57.13073636867813,28.94057287665358,235933
log,3.0,none,56.60325268480805,36.143571848878295,235933
log,4.0,image-norm,54.46073037764957,31.261275876940303,235933
log,4.0,none,54.12004445826315,39.49492442218027,235933
log,4.0,z-score,52.79028654599603,32.55119003226156,235933
log,5.0,none,52.27329655646056,42.153305067186416,235933
log,5.0,image-norm,51.11622221220772,34.09029310590083,235933
log,5.0,z-score,49.2318810652145,35.59412515039337,235933
