Mode,Lambda,Norm,IoU (%),MAPE (%),Samples
log,1e-08,z-score,90.62624279872516,5.182600935319673,441921
log,1e-08,none,90.62624108259358,5.182601790760286,441921
log,1e-07,z-score,90.62624105412517,5.18260167841531,441921
log,1e-08,image-norm,90.62623877548421,5.182602953619496,441921
log,1e-07,none,90.62622377857575,5.182610392855038,441921
log,1e-06,z-score,90.62622354528229,5.182609145005931,441921
log,1e-07,image-norm,90.6262143369113,5.182615252323313,441921
log,1e-06,none,90.62615317771026,5.182645355296135,441921
log,1e-06,image-norm,90.62613211329638,5.1826562606048245,441921
log,0.0001,z-score,90.62394697459503,5.183613453517995,441921
log,0.0001,image-norm,90.62055233957149,5.185476363802588,441921
log,0.0001,none,90.62024282973717,5.18562320875442,441921
sqrt,1e-08,z-score,90.61072087332866,5.207755094132967,441921
sqrt,1e-07,z-score,90.61071996869103,5.20775547294635,441921
sqrt,1e-08,none,90.61071906581135,5.20775599455046,441921
sqrt,1e-08,image-norm,90.61071686523121,5.207757104482392,441921
sqrt,1e-06,z-score,90.61071085101014,5.207759299933208,441921
sqrt,1e-07,none,90.61070193891568,5.207764560502059,441921
sqrt,1e-07,image-norm,90.61069312673384,5.207769106066348,441921
sqrt,1e-06,none,90.6106412990337,5.207795059738409,441921
sqrt,1e-06,image-norm,90.61062710090953,5.207802531679945,441921
sqrt,0.0001,z-score,90.6094345012766,5.208322631409038,441921
sqrt,0.0001,none,90.60675704443767,5.209784943828807,441921
sqrt,0.0001,image-norm,90.60626565702755,5.210068755808231,441921
log,0.001,z-score,90.6035411700593,5.1926574964914,441921
sqrt,0.001,z-score,90.59868554318278,5.213036097298373,441921
log,0.001,image-norm,90.58676519473677,5.201999314794974,441921
sqrt,0.001,image-norm,90.58639516268434,5.219947433590357,441921
sqrt,0.001,none,90.57998692362303,5.223392379307308,441921
log,0.001,none,90.56204293728118,5.215692244709514,441921
linear,1e-08,z-score,90.54178069295655,5.267227978756991,441921
linear,1e-07,z-score,90.5417802666602,5.267228151744066,441921
linear,1e-08,none,90.54177887269884,5.2672288817882595,441921
linear,1e-08,image-norm,90.54177675834116,5.267229947193073,441921
linear,1e-06,z-score,90.54177598523664,5.26722989357297,441921
linear,1e-07,none,90.54176215867898,5.267237243430226,441921
linear,1e-07,image-norm,90.54175412612597,5.267241384073628,441921
linear,1e-06,none,90.54171169740907,5.267262689053969,441921
linear,1e-06,image-norm,90.54170212615708,5.2672677210635435,441921
linear,0.0001,z-score,90.54103093921044,5.267563873655369,441921
linear,0.0001,none,90.53860062937252,5.2688915646121135,441921
linear,0.0001,image-norm,90.53800851856893,5.269221548909764,441921
linear,0.001,z-score,90.5350864094154,5.270204241471282,441921
linear,0.001,image-norm,90.52492213401314,5.2759136613603825,441921
linear,0.001,none,90.5240950522591,5.276374415390348,441921
sqrt,0.01,z-score,90.48791820550764,5.2628036161386795,441921
linear,0.01,z-score,90.47913034835517,5.295044255326625,441921
linear,0.01,image-norm,90.43211296004093,5.3224825389639285,441921
sqrt,0.01,image-norm,90.39664739713427,5.315713877981629,441921
log,0.01,z-score,90.37871852028698,5.2973088358538885,441921
linear,0.01,none,90.37409680809692,5.356133780319771,441921
sqrt,0.01,none,90.20396876437782,5.427599839970261,441921
log,0.01,image-norm,90.1846043764296,5.409634671438646,441921
square,1e-08,z-score,90.16646990815443,5.572342639856108,441921
square,1e-07,z-score,90.16646977736701,5.572342667432764,441921
square,1e-06,z-score,90.16646846669785,5.572342947517692,441921
square,1e-08,none,90.16646814797062,5.572343495782059,441921
square,1e-08,image-norm,90.16646614828117,5.572344489083486,441921
square,1e-07,none,90.16645263420561,5.572351110166209,441921
square,1e-07,image-norm,90.16644550881942,5.572354652717757,441921
square,1e-06,none,90.16642223318149,5.572365153939413,441921
square,1e-06,image-norm,90.16641993442745,5.572365329365573,441921
square,0.0001,z-score,90.1660770267731,5.572505492362645,441921
square,0.0001,none,90.16379430093758,5.57368961694399,441921
square,0.0001,image-norm,90.1633859406729,5.573891051273646,441921
square,0.001,z-score,90.16241368730128,5.574131307665159,441921
square,0.001,image-norm,90.15448604043047,5.577989759325823,441921
square,0.001,none,90.15338350223317,5.578926652386762,441921
square,0.01,z-score,90.12761960208118,5.590061235892741,441921
square,0.01,image-norm,90.10952997788051,5.596825226893987,441921
square,0.01,none,90.07267590476233,5.621152367007441,441921
linear,0.1,z-score,89.80982817386169,5.622409780409418,441921
square,0.1,z-score,89.74075558459566,5.782428844252534,441921
log,0.01,none,89.65534666315762,5.7284246793621385,441921
square,0.1,image-norm,89.60086482670873,5.8538947261399175,441921
linear,0.1,image-norm,89.37089786164543,5.891500474430149,441921
square,0.1,none,89.22472893360644,6.111497347262965,441921
sqrt,0.1,z-score,89.02809154467158,6.014180024365645,441921
linear,0.1,none,88.65384362136311,6.344043673519821,441921
sqrt,0.1,image-norm,88.06775759671744,6.607562230354336,441921
log,0.1,z-score,87.38582455562472,6.937612949505126,441921
square,1.0,z-score,86.00038142336163,7.920123300251822,441921
sqrt,0.1,none,85.96997474921709,7.983665484731171,441921
square,1.0,none,85.84177139003617,8.232798150684632,441921
square,1.0,image-norm,85.7461018943457,8.018150331142113,441921
log,0.1,image-norm,85.56216768417777,8.112830297215508,441921
square,2.0,none,84.52689846014349,9.097167453001658,441921
square,3.0,none,83.77458686324891,9.604337329734014,441921
square,4.0,none,83.26147516328444,9.956933723404015,441921
square,5.0,none,82.88060881711682,10.222366434747755,441921
square,2.0,image-norm,82.84042438472706,9.696808392704215,441921
square,2.0,z-score,82.55743241072562,10.005326325048323,441921
linear,1.0,z-score,82.54282564394686,9.809671206342795,441921
linear,1.0,image-norm,81.7265575482174,10.383783200330669,441921
linear,1.0,none,81.59766410330718,10.781882757543656,441921
log,0.1,none,81.0762348982635,11.437347406937118,441921
square,3.0,image-norm,80.33781467600646,11.170630791806516,441921
square,3.0,z-score,79.47958779031387,11.91144342288325,441921
linear,2.0,none,78.83932943545841,12.635334988061159,441921
square,4.0,image-norm,78.03656537066728,12.550178423496897,441921
linear,3.0,none,77.2960244370808,13.703673095052643,441921
square,4.0,z-score,76.668030492994,13.680572108863418,441921
linear,4.0,none,76.27009348981774,14.42857186404128,441921
linear,2.0,image-norm,76.00245772068749,13.959108538470563,441921
square,5.0,image-norm,75.88607396528502,13.860762536673231,441921
linear,2.0,z-score,75.77529930853218,14.044183319976542,441921
linear,5.0,none,75.52658450360062,14.962518090288823,441921
sqrt,1.0,z-score,74.69346491338987,14.906193349589744,441921
square,5.0,z-score,74.07723907151723,15.332944230609113,441921
sqrt,1.0,image-norm,73.84685057515095,15.617461074218145,441921
sqrt,1.0,none,71.6147847543276,18.159738097648184,441921
linear,3.0,image-norm,71.21149824167077,17.061561203122057,441921
linear,3.0,z-score,70.01296893522172,17.81586489260582,441921
linear,4.0,image-norm,66.99785402586666,19.875399058641165,441921
sqrt,2.0,none,66.84550292955463,22.032135028475892,441921
log,1.0,z-score,65.13992823841997,21.563334193073167,441921
linear,4.0,z-score,65.02639737733226,21.200634646869272,441921
log,1.0,image-norm,64.61618675644341,22.359501455024038,441921
sqrt,2.0,image-norm,64.47513944373036,22.112503671129733,441921
sqrt,3.0,none,64.36020249412864,24.176500308281028,441921
sqrt,2.0,z-score,63.30096711636363,22.75943400799675,441921
linear,5.0,image-norm,63.23420527690398,22.460154126389906,441921
sqrt,4.0,none,62.781778636413975,25.595637226137903,441921
sqrt,5.0,none,61.672268260113306,26.62432992923528,441921
linear,5.0,z-score,60.670241891162405,24.255072986876083,441921
log,1.0,none,59.30423476842326,31.453981034418042,441921
sqrt,3.0,image-norm,57.19296978235544,27.459954848209673,441921
sqrt,3.0,z-score,54.6203999236258,29.183906070943554,441921
log,2.0,none,53.311851673227316,38.96521231336209,441921
log,2.0,image-norm,53.12355179112325,30.95061098538779,441921
sqrt,4.0,image-norm,51.20620761006593,32.09034972637429,441921
log,2.0,z-score,50.91053203096521,32.14470366066711,441921
log,3.0,none,50.38351967428457,43.19358262550963,441921
log,4.0,none,48.59322876206796,46.038511909439606,441921
sqrt,4.0,z-score,47.75067194599032,34.59098538764914,441921
log,5.0,none,47.36835799551107,48.130994847654414,441921
