sigma,DS,pos,neg,MeanIoU
2048,2,0.95,0.005,0.46441
2048,2,0.95,0.01,0.46492
2048,2,0.95,0.02,0.46557
2048,2,0.95,0.05,0.46637
2048,2,0.96,0.005,0.48333
2048,2,0.96,0.01,0.48374
2048,2,0.96,0.02,0.48429
2048,2,0.96,0.05,0.48488
2048,2,0.97,0.005,0.50558
2048,2,0.97,0.01,0.50594
2048,2,0.97,0.02,0.50633
2048,2,0.97,0.05,0.50676
2048,2,0.98,0.005,0.52471
2048,2,0.98,0.01,0.52492
2048,2,0.98,0.02,0.52510
2048,2,0.98,0.05,0.52542
2048,2,0.99,0.005,0.51279
2048,2,0.99,0.01,0.51296
2048,2,0.99,0.02,0.51306
2048,2,0.99,0.05,0.51303
2048,2,0.994,0.005,0.48257
2048,2,0.994,0.01,0.48264
2048,2,0.994,0.02,0.48256
2048,2,0.994,0.05,0.48253
4096,2,0.95,0.005,0.39328
4096,2,0.95,0.01,0.39366
4096,2,0.95,0.02,0.39416
4096,2,0.95,0.05,0.39506
4096,2,0.96,0.005,0.41914
4096,2,0.96,0.01,0.41952
4096,2,0.96,0.02,0.41999
4096,2,0.96,0.05,0.42078
4096,2,0.97,0.005,0.44769
4096,2,0.97,0.01,0.44809
4096,2,0.97,0.02,0.44855
4096,2,0.97,0.05,0.44920
4096,2,0.98,0.005,0.48249
4096,2,0.98,0.01,0.48282
4096,2,0.98,0.02,0.48313
4096,2,0.98,0.05,0.48370
4096,2,0.99,0.005,0.52375
4096,2,0.99,0.01,0.52402
4096,2,0.99,0.02,0.52420
4096,2,0.99,0.05,0.52450
4096,2,0.994,0.005,0.51921
4096,2,0.994,0.01,0.51940
4096,2,0.994,0.02,0.51948
4096,2,0.994,0.05,0.51963
512,2,0.95,0.005,0.51699
512,2,0.95,0.01,0.51652
512,2,0.95,0.02,0.51543
512,2,0.95,0.05,0.51297
512,2,0.96,0.005,0.50894
512,2,0.96,0.01,0.50830
512,2,0.96,0.02,0.50720
512,2,0.96,0.05,0.50431
512,2,0.97,0.005,0.49149
512,2,0.97,0.01,0.49091
512,2,0.97,0.02,0.48973
512,2,0.97,0.05,0.48664
512,2,0.98,0.005,0.46492
512,2,0.98,0.01,0.46417
512,2,0.98,0.02,0.46283
512,2,0.98,0.05,0.45945
512,2,0.99,0.005,0.41708
512,2,0.99,0.01,0.41620
512,2,0.99,0.02,0.41471
512,2,0.99,0.05,0.41082
512,2,0.994,0.005,0.38971
512,2,0.994,0.01,0.38890
512,2,0.994,0.02,0.38710
512,2,0.994,0.05,0.38307
1024,2,0.95,0.005,0.51639
1024,2,0.95,0.01,0.51501
1024,2,0.95,0.02,0.51348
1024,2,0.95,0.05,0.51360
1024,2,0.96,0.005,0.52485
1024,2,0.96,0.01,0.52349
1024,2,0.96,0.02,0.52180
1024,2,0.96,0.05,0.52177
1024,2,0.97,0.005,0.52655
1024,2,0.97,0.01,0.52502
1024,2,0.97,0.02,0.52301
1024,2,0.97,0.05,0.52259
1024,2,0.98,0.005,0.51303
1024,2,0.98,0.01,0.51140
1024,2,0.98,0.02,0.50950
1024,2,0.98,0.05,0.50868
1024,2,0.99,0.005,0.47010
1024,2,0.99,0.01,0.46839
1024,2,0.99,0.02,0.46639
1024,2,0.99,0.05,0.46508
1024,2,0.994,0.005,0.43397
1024,2,0.994,0.01,0.43227
1024,2,0.994,0.02,0.43017
1024,2,0.994,0.05,0.42866
